accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.7777777777777778,0.0,0.2222222222222222,8.009700753137144,gini,sqrt,1,2,200,6,6
0.7777777777777778,0.0,0.2222222222222222,8.009700753137144,gini,sqrt,1,2,200,6,7
0.8076923076923077,0.0,0.19230769230769232,6.931471805599452,gini,log2,1,2,100,6,8
0.8461538461538461,0.3333333333333333,0.15384615384615385,5.545177444479562,gini,log2,1,2,200,6,9
0.8,0.0,0.2,7.20873067782343,gini,sqrt,1,2,100,7,0
0.76,0.0,0.24,8.650476813388117,gini,sqrt,1,10,100,7,1
0.8333333333333334,0.0,0.16666666666666666,6.007275564852859,gini,log2,1,10,100,7,2
0.7916666666666666,0.0,0.20833333333333334,7.509094456066073,entropy,sqrt,1,10,100,7,3
0.7916666666666666,0.0,0.20833333333333334,7.509094456066073,gini,sqrt,1,2,100,7,4
0.7916666666666666,0.0,0.20833333333333334,7.509094456066073,gini,sqrt,1,2,100,7,5
0.7916666666666666,0.0,0.20833333333333334,7.509094456066073,gini,log2,1,2,100,7,6
0.7916666666666666,0.0,0.20833333333333334,7.509094456066073,gini,sqrt,1,2,100,7,7
0.7916666666666666,0.0,0.20833333333333334,7.509094456066073,gini,sqrt,1,2,100,7,8
0.7916666666666666,0.0,0.20833333333333334,7.509094456066073,gini,log2,1,2,200,7,9
0.8181818181818182,0.0,0.18181818181818182,6.553391525294028,gini,log2,1,2,100,8,0
0.8636363636363636,0.4,0.13636363636363635,4.915043643970521,gini,sqrt,1,2,100,8,1
0.8181818181818182,0.0,0.18181818181818182,6.553391525294028,gini,log2,1,2,100,8,2
0.8181818181818182,0.0,0.18181818181818182,6.553391525294028,gini,log2,1,2,200,8,3
0.8181818181818182,0.3333333333333333,0.18181818181818182,6.553391525294028,entropy,sqrt,1,2,100,8,4
0.7727272727272727,0.0,0.22727272727272727,8.191739406617534,gini,sqrt,1,2,200,8,5
0.7727272727272727,0.0,0.22727272727272727,8.191739406617534,gini,sqrt,1,2,100,8,6
0.7727272727272727,0.0,0.22727272727272727,8.191739406617534,gini,sqrt,1,10,100,8,7
0.8095238095238095,0.0,0.19047619047619047,6.865457788403267,gini,sqrt,1,2,200,8,8
0.8095238095238095,0.0,0.19047619047619047,6.865457788403267,gini,sqrt,1,2,100,8,9
0.8,0.0,0.2,7.20873067782343,gini,sqrt,1,10,200,9,0
0.8,0.0,0.2,7.20873067782343,gini,sqrt,1,2,200,9,1
0.8,0.0,0.2,7.20873067782343,gini,log2,1,2,100,9,2
0.85,0.4,0.15,5.406548008367573,gini,sqrt,1,2,100,9,3
0.75,0.0,0.25,9.010913347279288,entropy,sqrt,1,2,100,9,4
0.8,0.0,0.2,7.20873067782343,gini,log2,1,10,100,9,5
0.8,0.0,0.2,7.20873067782343,gini,log2,1,2,100,9,6
0.7894736842105263,0.0,0.21052631578947367,7.588137555603612,gini,sqrt,1,2,200,9,7
0.7894736842105263,0.0,0.21052631578947367,7.588137555603612,gini,log2,1,2,200,9,8
0.7894736842105263,0.0,0.21052631578947367,7.588137555603612,entropy,sqrt,1,10,100,9,9
