accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.816,0.816,0.184,6.632032223597556,0.001,6,4
0.822,0.8285163776493256,0.178,6.415770303262853,0.001,6,5
0.816,0.8106995884773662,0.184,6.632032223597556,0.001,6,6
0.78,0.7843137254901961,0.22,7.929603745605775,0.001,6,7
0.78,0.7859922178988327,0.22,7.929603745605773,0.001,6,8
0.812,0.825925925925926,0.188,6.7762068371540245,0.001,6,9
0.812,0.7991452991452992,0.188,6.7762068371540245,0.001,7,0
0.816,0.8181818181818182,0.184,6.632032223597556,0.001,7,1
0.818,0.8100208768267223,0.182,6.5599449168193225,0.001,7,2
0.822,0.81419624217119,0.178,6.415770303262853,0.001,7,3
0.798,0.8023483365949119,0.202,7.280817984601665,0.001,7,4
0.79,0.7969052224371374,0.21,7.569167211714602,0.001,7,5
0.806,0.7940552016985138,0.194,6.992468757488727,0.001,7,6
0.828,0.8333333333333334,0.172,6.19950838292815,0.001,7,7
0.796,0.8023255813953488,0.204,7.352905291379899,0.001,7,8
0.8,0.8154981549815498,0.2,7.20873067782343,0.001,7,9
0.81,0.7983014861995754,0.19,6.848294143932258,0.001,8,0
0.822,0.832391713747646,0.178,6.415770303262853,0.001,8,1
0.804,0.7975206611570248,0.196,7.064556064266963,0.001,8,2
0.788,0.7827868852459017,0.212,7.641254518492837,0.001,8,3
0.828,0.8244897959183674,0.172,6.19950838292815,0.001,8,4
0.828,0.8333333333333334,0.172,6.19950838292815,0.001,8,5
0.786,0.7847082494969819,0.214,7.713341825271071,0.001,8,6
0.796,0.8015564202334631,0.204,7.352905291379899,0.001,8,7
0.816,0.8122448979591836,0.184,6.632032223597556,0.001,8,8
0.804,0.8185185185185185,0.196,7.064556064266963,0.001,8,9
0.808,0.805668016194332,0.192,6.920381450710493,0.001,9,0
0.814,0.8241965973534972,0.186,6.704119530375791,0.001,9,1
0.808,0.799163179916318,0.192,6.920381450710494,0.01,9,2
0.842,0.8240534521158129,0.158,5.69489723548051,0.001,9,3
0.82,0.8255813953488372,0.18,6.487857610041088,0.001,9,4
0.806,0.8109161793372319,0.194,6.992468757488727,0.001,9,5
0.79,0.7878787878787878,0.21,7.5691672117146025,0.001,9,6
0.806,0.8101761252446184,0.194,6.992468757488727,0.001,9,7
0.822,0.8194726166328601,0.178,6.415770303262853,0.001,9,8
0.802,0.8170055452865065,0.198,7.136643371045197,0.001,9,9
